CHECKLIST DE CONTROL DE CALIDAD – PC KENYA PROWORK

N° | OPERACIÓN | DESCRIPCIÓN | REVISIÓN DE CONTROL DE CALIDAD

1 | Agitar vertical y horizontalmente el case | Agitar cuidadosamente el case en sentido vertical y horizontal para comprobar que no existan elementos sueltos en el interior. | Confirmar que no se escuchen sonidos internos por pernos sueltos, restos de cintillos u otros elementos.

2 | Revisar estado físico de componentes | Revisar el estado físico de RAM, disco, tarjeta gráfica, placa base, case, tapas y demás componentes, verificando que no presenten daños, rayones, rajaduras, abolladuras o deformaciones. | Confirmar la integridad visual de todos los componentes.

3 | Verificar cambio de fuente de poder | Verificar que la fuente de poder instalada corresponda a una unidad de 750 W con certificación 80 Plus. | Realizar verificación visual de modelo, potencia y certificación.

4 | Verificar cables antes del encendido | Verificar que todos los cables estén firmes, correctamente conectados y ubicados antes de encender el equipo. | Confirmar conexiones correctas y firmes.

5 | Revisar montaje del procesador y sistema de refrigeración | Verificar la correcta instalación de los 4 tornillos de la bomba del sistema de refrigeración líquida y su correcta conexión al PC. | Confirmar correcta instalación y conexión al CPU_FAN o conector correspondiente.

6 | Revisar montaje de memoria RAM | Insertar los módulos de memoria RAM correctamente, respetando la orientación y las ranuras correspondientes. | Confirmar que los módulos estén firmes y que las muescas/pestañas de retención estén correctamente cerradas.

7 | Revisar instalación de la placa base | Verificar que la placa base esté correctamente fijada al chasis del case mediante todos los tornillos correspondientes. | Confirmar tornillos correctamente instalados y conectores de la placa conectados, incluidos cables de la fuente y cables de los puertos frontales.

8 | Revisar conexión y organización de cables | Organizar el cableado de manera eficiente, evitando exceso de cables, tensión, holguras innecesarias u obstrucciones. | Realizar inspección visual del cableado y su organización.

9 | Verificar ventilación interna | Confirmar que no existan obstrucciones, cables mal organizados ni elementos en contacto con los ventiladores. | Validar una adecuada circulación de aire dentro del case.

10 | Revisar cooler de chasis y refrigeración líquida – Sticker KENYA | Retirar la etiqueta anterior y colocar correctamente el sticker KENYA en el cooler de chasis y/o sistema de refrigeración líquida según el patrón establecido. | Verificar visibilidad, alineación y correcta adhesión del sticker KENYA.

11 | Colocar sticker de serie interno | Colocar el sticker de número de serie en la parte interior del case, en la ubicación designada y siguiendo el patrón establecido. | Confirmar ubicación, alineación y correcta adhesión.

12 | Retirar película protectora de la bomba y cooler | Retirar la película protectora del disipador/bomba de refrigeración líquida y de los 3 ventiladores del cooler, cuando corresponda. | Confirmar que no quede ninguna película protectora instalada.

13 | Retirar película protectora de tarjeta de video | Retirar la película protectora de ambos lados de la tarjeta de video. | Confirmar que ambas caras estén libres de película protectora.

14 | Retirar película protectora de tapa frontal del case | Retirar la película protectora ubicada en la parte interior de la tapa frontal del case. | Confirmar retiro completo de la película protectora.

15 | Verificar instalación de fuente de alimentación | Verificar el correcto montaje de la fuente de alimentación y la conexión de todos sus cables. | Confirmar conexiones firmes, sin exceso de tensión ni holguras.

16 | Revisar montaje de almacenamiento | Instalar HDD, SSD o M.2 según la ficha técnica, asegurando su correcta fijación mediante tornillos o sistema de sujeción correspondiente. | Confirmar montaje correcto y detección en BIOS y sistema operativo.

17 | Verificar instalación de tarjeta gráfica (si aplica) | Confirmar que la tarjeta gráfica esté firmemente instalada en la ranura PCIe correspondiente, con sus conectores de alimentación correctamente conectados y reconocida por el sistema operativo. | Confirmar reconocimiento de la GPU, capacidad de memoria según ficha técnica y correcta visualización en el Administrador de tareas.

18 | Verificar instalación de tarjeta Wi-Fi y Bluetooth (si aplica) | Instalar la tarjeta Wi-Fi/Bluetooth en la ranura correspondiente y fijarla correctamente con sus tornillos. | Confirmar detección y funcionamiento correcto en el sistema.

19 | Actualizar BIOS | Actualizar la BIOS a la última versión aprobada. Para equipos GIGABYTE, la actualización es obligatoria según el procedimiento establecido. | Confirmar versión instalada, por ejemplo F15 o F16A, según corresponda al modelo.

20 | Configurar BIOS | Desactivar Boot Logo y configurar RGB como Disabled, de acuerdo con el procedimiento establecido. | Confirmar que los ajustes hayan sido guardados y aplicados correctamente.

21 | Revisar encendido y realizar pruebas básicas | Realizar prueba de encendido y verificar el funcionamiento de periféricos y puertos disponibles. | Confirmar POST correcto y ausencia de errores. Probar puertos USB, HDMI, VGA, DisplayPort (DP), USB Type-C y puertos Jack de audio.

